_id,name,location,logo,items
65c82b9a788b11f7fa6499bd,kfc,"Gainesville, Florida",https://cfc24-mass.imgix.net/kfc.png,"[{'name': 'strawberry lemonade (1/2 gallon)', 'description': 'strawberry lemonade (1/2 gallon), beverages', 'cals': 950, 'carbs': 270, 'fat': 0.0, 'protein': 0}]"
65c82b9a788b11f7fa6499be,kfc,"Gainesville, Florida",https://cfc24-mass.imgix.net/kfc.png,"[{'name': 'classic lemonade (1/2 gallon)', 'description': 'classic lemonade (1/2 gallon), beverages', 'cals': 880, 'carbs': 234, 'fat': 0.0, 'protein': 0}]"
65c82b9a788b11f7fa6499bf,kfc,"Gainesville, Florida",https://cfc24-mass.imgix.net/kfc.png,"[{'name': 'secret recipe fries (family)', 'description': 'secret recipe fries (family), homestyle sides (family)', 'cals': 840, 'carbs': 108, 'fat': 40.0, 'protein': 13}]"
65c82b9a788b11f7fa6499c0,kfc,"Gainesville, Florida",https://cfc24-mass.imgix.net/kfc.png,"[{'name': 'bbq baked beans (family)', 'description': 'bbq baked beans (family), homestyle sides (family)', 'cals': 830, 'carbs': 148, 'fat': 5.0, 'protein': 47}]"
65c82b9a788b11f7fa6499c1,kfc,"Gainesville, Florida",https://cfc24-mass.imgix.net/kfc.png,"[{'name': 'nashville hot extra crispy chicken breast', 'description': 'nashville hot extra crispy chicken breast, nashville hot chicken', 'cals': 770, 'carbs': 21, 'fat': 60.0, 'protein': 35}]"
65c82b9a788b11f7fa6499c2,kfc,"Gainesville, Florida",https://cfc24-mass.imgix.net/kfc.png,"[{'name': 'kfc famous bowl', 'description': 'kfc famous bowl, pot pie and bowls', 'cals': 740, 'carbs': 81, 'fat': 35.0, 'protein': 26}]"
65c82b9a788b11f7fa6499c3,kfc,"Gainesville, Florida",https://cfc24-mass.imgix.net/kfc.png,"[{'name': 'chicken pot pie', 'description': 'chicken pot pie, pot pie and bowls', 'cals': 720, 'carbs': 60, 'fat': 41.0, 'protein': 26}]"
65c82b9a788b11f7fa6499c4,kfc,"Gainesville, Florida",https://cfc24-mass.imgix.net/kfc.png,"[{'name': 'classic chicken sandwich', 'description': 'classic chicken sandwich, sandwiches', 'cals': 650, 'carbs': 49, 'fat': 35.0, 'protein': 34}]"
65c82b9a788b11f7fa6499c5,kfc,"Gainesville, Florida",https://cfc24-mass.imgix.net/kfc.png,"[{'name': 'coleslaw (family)', 'description': 'coleslaw (family), homestyle sides (family)', 'cals': 640, 'carbs': 54, 'fat': 46.0, 'protein': 4}]"
65c82b9a788b11f7fa6499c6,mcdonald's,"Gainesville, Florida",https://cfc24-mass.imgix.net/mcd.jpg,"[{'name': 'chocolate triple thick shake (32 fl oz cup)', 'description': 'chocolate triple thick shake (32 fl oz cup), desserts/ shakes', 'cals': 1160, 'carbs': 203, 'fat': 27.0, 'protein': 27}]"
65c82b9a788b11f7fa6499c7,mcdonald's,"Gainesville, Florida",https://cfc24-mass.imgix.net/mcd.jpg,"[{'name': 'big breakfast with hotcakes (large size biscuit)', 'description': 'big breakfast with hotcakes (large size biscuit), breakfast', 'cals': 1150, 'carbs': 116, 'fat': 60.0, 'protein': 36}]"
65c82b9a788b11f7fa6499c8,mcdonald's,"Gainesville, Florida",https://cfc24-mass.imgix.net/mcd.jpg,"[{'name': 'strawberry triple thick shake (32 fl oz cup)', 'description': 'strawberry triple thick shake (32 fl oz cup), desserts/ shakes', 'cals': 1110, 'carbs': 194, 'fat': 26.0, 'protein': 25}]"
65c82b9a788b11f7fa6499c9,mcdonald's,"Gainesville, Florida",https://cfc24-mass.imgix.net/mcd.jpg,"[{'name': 'vanilla triple thick shake (32 fl oz cup)', 'description': 'vanilla triple thick shake (32 fl oz cup), desserts/ shakes', 'cals': 1110, 'carbs': 193, 'fat': 26.0, 'protein': 25}]"
65c82b9a788b11f7fa6499ca,mcdonald's,"Gainesville, Florida",https://cfc24-mass.imgix.net/mcd.jpg,"[{'name': 'big breakfast with hotcakes (regular size biscuit)', 'description': ""big breakfast with hotcakes (regular size biscuit), breakfast'"", 'cals': 1090, 'carbs': 111, 'fat': 56.0, 'protein': 36}]"
65c82b9a788b11f7fa6499cb,mcdonald's,"Gainesville, Florida",https://cfc24-mass.imgix.net/mcd.jpg,"[{'name': 'chocolate mccafé shake (22 fl oz cup)', 'description': 'chocolate mccafé shake (22 fl oz cup), desserts/ shakes', 'cals': 880, 'carbs': 147, 'fat': 24.0, 'protein': 18}]"
65c82b9a788b11f7fa6499cc,mcdonald's,"Gainesville, Florida",https://cfc24-mass.imgix.net/mcd.jpg,"[{'name': 'strawberry mccafé shake (22 fl oz cup)', 'description': 'strawberry mccafé shake (22 fl oz cup), desserts/ shakes', 'cals': 860, 'carbs': 144, 'fat': 24.0, 'protein': 18}]"
65c82b9a788b11f7fa6499cd,mcdonald's,"Gainesville, Florida",https://cfc24-mass.imgix.net/mcd.jpg,"[{'name': 'vanilla mccafé shake (22 fl oz cup)', 'description': 'vanilla mccafé shake (22 fl oz cup), desserts/ shakes', 'cals': 830, 'carbs': 138, 'fat': 24.0, 'protein': 17}]"
